decision_route,model_used,predicted_flag,class_probabilities,primary_risk_probability,risk_score,risk_score_100,recommended_action,row_index,provider
AUTO_REJECT,Gradient Boosting,0,"{'class_0_prob': 0.7395, 'class_1_prob': 0.1614, 'class_2_prob': 0.0553, 'class_3_prob': 0.0438}",0.7395,0.1614,16.14,Decilne - risk score below cut-off,7475,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,13827,
AUTO_REJECT,Gradient Boosting,0,"{'class_0_prob': 0.7395, 'class_1_prob': 0.1614, 'class_2_prob': 0.0553, 'class_3_prob': 0.0438}",0.7395,0.1614,16.14,Decilne - risk score below cut-off,47326,
AUTO_REJECT,Gradient Boosting,2,"{'class_0_prob': 0.042, 'class_1_prob': 0.1578, 'class_2_prob': 0.7577, 'class_3_prob': 0.0426}",0.7577,0.1578,15.78,Decilne - risk score below cut-off,46428,
AUTO_REJECT,Gradient Boosting,2,"{'class_0_prob': 0.042, 'class_1_prob': 0.1578, 'class_2_prob': 0.7577, 'class_3_prob': 0.0426}",0.7577,0.1578,15.78,Decilne - risk score below cut-off,28660,
AUTO_REJECT,Gradient Boosting,0,"{'class_0_prob': 0.7405, 'class_1_prob': 0.1612, 'class_2_prob': 0.0546, 'class_3_prob': 0.0437}",0.7405,0.1612,16.12,Decilne - risk score below cut-off,42434,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,48853,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,43629,
AUTO_REJECT,Gradient Boosting,2,"{'class_0_prob': 0.042, 'class_1_prob': 0.1578, 'class_2_prob': 0.7577, 'class_3_prob': 0.0426}",0.7577,0.1578,15.78,Decilne - risk score below cut-off,46596,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,19460,
AUTO_REJECT,Gradient Boosting,2,"{'class_0_prob': 0.042, 'class_1_prob': 0.1578, 'class_2_prob': 0.7577, 'class_3_prob': 0.0426}",0.7577,0.1578,15.78,Decilne - risk score below cut-off,36165,
AUTO_REJECT,Gradient Boosting,3,"{'class_0_prob': 0.0431, 'class_1_prob': 0.1609, 'class_2_prob': 0.0542, 'class_3_prob': 0.7419}",0.7419,0.1609,16.09,Decilne - risk score below cut-off,40745,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,27192,
AUTO_APPROVE,Gradient Boosting,1,"{'class_0_prob': 0.0283, 'class_1_prob': 0.9073, 'class_2_prob': 0.0358, 'class_3_prob': 0.0286}",0.9073,0.9073,90.73,Approve - strong profile,32417,
